Job_Title,Rating,Location,Headquarters,Founded	,ownership	,Industry,Sector,Revenue,Competitors	,Easy_Apply,Estimated_min_salary,Estimated_max_salary,Min_size,Max_size
Data Analyst,3.2,"New York, NY","New York, NY",1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),Unknown,True,37,66,201,500
Quality Data Analyst,3.8,"New York, NY","New York, NY",1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Unknown,False,37,66,1100,1500
Sr Data Analyst,3.4,"New York, NY","New York, NY",2003,Company - Private,Internet,Information Technology, Non-Applicable,GoDaddy,False,37,66,1001,5000
Data Analyst,4.1,"New York, NY","McLean, VA",2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),Unknown,False,37,66,201,500
Reporting Data Analyst,3.9,"New York, NY","New York, NY",2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,True,37,66,501,1000
Data Analyst,3.9,"New York, NY","Stamford, CT",2014,Company - Private,Investment Banking & Asset Management,Finance, Non-Applicable,Unknown,False,37,66,1001,5000
Data Business Analyst,4.4,"New York, NY","New York, NY",2001,Company - Private,Investment Banking & Asset Management,Finance, Non-Applicable,Unknown,False,37,66,1001,5000
Data Science Analyst,3.7,"New York, NY","New York, NY",1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True,37,66,201,500
Data Analyst,4.0,"New York, NY","London, United Kingdom",1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",False,37,66,5001,10000
Data Analyst,4.4,"New York, NY","New York, NY",2013,Company - Private,Research & Development,Business Services, Non-Applicable,"Signifyd, Forter",False,37,66,501,1000
Data Analyst,4.0,"New York, NY","New York, NY",1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",False,37,66,1100,1500
Data Analyst,-1.0,"Fairfield, NJ",Unknown ,2017,Company - Private,Unknown,Unknown, Non-Applicable,Unknown,False,37,66,1,50
Data Analyst,3.7,"New York, NY","Bronx, NY",1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Unknown,False,37,66,1100,1500
Sr Data Analyst,3.0,"New York, NY","New York, NY",2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),Unknown,True,37,66,201,500
Investment Advisory Data Analyst,3.4,"Jersey City, NJ","Phoenix, AZ",2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),Unknown,False,37,66,1001,5000
Systems/Data Analyst,3.6,"New York, NY","New York, NY",2017,Company - Private,Building & Personnel Services,Business Services, Non-Applicable,Unknown,False,37,66,1,50
Data Analyst,3.8,"New York, NY","New York, NY",2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services, Non-Applicable,"DoubleClick, Specific Media, Collective",True,37,66,201,500
Clinical Data Analyst,3.8,"New York, NY","Rome, NY",1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",False,37,66,51,200
Data Analyst,3.9,"New York, NY","Waltham, MA",1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),Unknown,False,37,66,501,1000
